TimeSeries ID,database/cpu/utilization.cloudsql_database.ALIGN_MAX.metric.type="cloudsql.googleapis.com/database/cpu/utilization" resource.type="cloudsql_database" AND resource.labels."database_id"="data-rainfall-476920-v0:quizapp-postgres-prod" AND resource.labels."project_id"="data-rainfall-476920-v0".120s.database_id:data-rainfall-476920-v0:quizapp-postgres-prod.project_id:data-rainfall-476920-v0.region:us-central
region,us-central
project_id,data-rainfall-476920-v0
database_id,data-rainfall-476920-v0:quizapp-postgres-prod
Tue Dec 02 2025 16:26:00 GMT+0530 (India Standard Time),0.0431440924096601
Tue Dec 02 2025 16:28:00 GMT+0530 (India Standard Time),0.039858655848038896
Tue Dec 02 2025 16:30:00 GMT+0530 (India Standard Time),0.041388237339681194
Tue Dec 02 2025 16:32:00 GMT+0530 (India Standard Time),0.038830531844746476
Tue Dec 02 2025 16:34:00 GMT+0530 (India Standard Time),0.04339904117283026
Tue Dec 02 2025 16:36:00 GMT+0530 (India Standard Time),0.04371176608199979
Tue Dec 02 2025 16:38:00 GMT+0530 (India Standard Time),0.0395927466006962
Tue Dec 02 2025 16:40:00 GMT+0530 (India Standard Time),0.04542870710854838
Tue Dec 02 2025 16:42:00 GMT+0530 (India Standard Time),0.039235362459226056
Tue Dec 02 2025 16:44:00 GMT+0530 (India Standard Time),0.04454163487284385
Tue Dec 02 2025 16:46:00 GMT+0530 (India Standard Time),0.04290366939824916
Tue Dec 02 2025 16:48:00 GMT+0530 (India Standard Time),0.07508569583899126
Tue Dec 02 2025 16:50:00 GMT+0530 (India Standard Time),0.07783835440969919
Tue Dec 02 2025 16:52:00 GMT+0530 (India Standard Time),0.03986777648519061
Tue Dec 02 2025 16:54:00 GMT+0530 (India Standard Time),0.04365003543292592
Tue Dec 02 2025 16:56:00 GMT+0530 (India Standard Time),0.056373600509079816
Tue Dec 02 2025 16:58:00 GMT+0530 (India Standard Time),0.07579968381474107
Tue Dec 02 2025 17:00:00 GMT+0530 (India Standard Time),0.04307703113160338
Tue Dec 02 2025 17:02:00 GMT+0530 (India Standard Time),0.038829118502591575
Tue Dec 02 2025 17:04:00 GMT+0530 (India Standard Time),0.044766798748202066
Tue Dec 02 2025 17:06:00 GMT+0530 (India Standard Time),0.046363127036212856
Tue Dec 02 2025 17:08:00 GMT+0530 (India Standard Time),0.040777630326140485
Tue Dec 02 2025 17:10:00 GMT+0530 (India Standard Time),0.04380571946361158
Tue Dec 02 2025 17:12:00 GMT+0530 (India Standard Time),0.04036677417181427
Tue Dec 02 2025 17:14:00 GMT+0530 (India Standard Time),0.041687356363664205
Tue Dec 02 2025 17:16:00 GMT+0530 (India Standard Time),0.04175268135191743
Tue Dec 02 2025 17:18:00 GMT+0530 (India Standard Time),0.04226434033582128
Tue Dec 02 2025 17:20:00 GMT+0530 (India Standard Time),0.048392825407077567
Tue Dec 02 2025 17:22:00 GMT+0530 (India Standard Time),0.04413128320554449
Tue Dec 02 2025 17:24:00 GMT+0530 (India Standard Time),0.04394331827041545
Tue Dec 02 2025 17:26:00 GMT+0530 (India Standard Time),0.04483386262343932
Tue Dec 02 2025 17:28:00 GMT+0530 (India Standard Time),0.04294801135851003
Tue Dec 02 2025 17:30:00 GMT+0530 (India Standard Time),0.045199250021587055
Tue Dec 02 2025 17:32:00 GMT+0530 (India Standard Time),0.04033336567454739
Tue Dec 02 2025 17:34:00 GMT+0530 (India Standard Time),0.045730889133996776
Tue Dec 02 2025 17:36:00 GMT+0530 (India Standard Time),0.0455864629054588
